Trade Date,Settle Date,Account,Activity,Symbol,Quantity,Amount,Description,Confirm #
01/22/2025,01/24/2025,Roth IRA,Contribution,,,"$7,000.00",Annual contribution,C-1001
01/22/2025,01/24/2025,Roth IRA,Bought,VXUS,200,"$11,900.00",VANGUARD TOTAL INTL STOCK ETF,C-1002
02/03/2025,02/05/2025,Brokerage,Bought,VTI,20,"$4,050.00",VANGUARD TOTAL STOCK MKT ETF,C-1003
02/03/2025,02/05/2025,Brokerage,Position Memo,VTI,120,,Position after trade,C-1004
02/03/2025,02/03/2025,Brokerage,MoneyTransfer,FDRXX,,"$4,050.00",Redemption to settle purchase,C-1005
03/31/2025,03/31/2025,Brokerage,Dividend Received,VTI,,$96.40,VANGUARD TOTAL STOCK MKT ETF,C-1006
03/31/2025,03/31/2025,Brokerage,Expense,,,$212.75,Management Fee Q1,C-1007
03/31/2025,03/31/2025,Brokerage,Expense,,,$45.00,Transfer to Cover Mgmt Fee FEE FOR Roth IRA,C-1008
03/31/2025,03/31/2025,Roth IRA,Expense,,,-$45.00,Transfer to Cover Mgmt Fee FEE PAID BY OTHER,C-1009
03/31/2025,03/31/2025,Roth IRA,Expense,,,$45.00,Management Fee Q1,C-1010
04/15/2025,04/17/2025,Brokerage,Sold,MSFT,10,"$4,180.00",MICROSOFT CORP,C-1011
06/30/2025,06/30/2025,Brokerage,Interest Paid,FDRXX,,$14.88,FIDELITY GOVT MONEY MARKET,C-1012
06/30/2025,07/02/2025,Brokerage,Distribution,,,"$2,500.00",Wire out,C-1013
