symbol,date,price,source,valuation_level
AAPL,2021-12-31,177.57,example,1
AAPL,2022-12-30,129.93,example,1
AAPL,2023-12-29,192.53,example,1
AAPL,2024-12-31,250.42,example,1
AAPL,2025-06-30,205.17,example,1
AAPL,2025-12-31,228.60,example,1
VTI,2021-12-31,241.05,example,1
VTI,2022-12-30,196.35,example,1
VTI,2023-12-29,236.35,example,1
VTI,2024-12-31,291.13,example,1
VTI,2025-06-30,297.44,example,1
VTI,2025-12-31,312.05,example,1
ACME,2021-12-31,47.10,example,1
ACME,2022-12-30,41.85,example,1
ACME,2023-12-29,52.40,example,1
ACME,2024-12-31,27.55,example,1
ACME,2025-06-30,29.80,example,1
ACME,2025-12-31,31.20,example,1
NEWCO,2024-12-31,13.10,example,1
NEWCO,2025-06-30,14.85,example,1
NEWCO,2025-12-31,15.40,example,1
T-4.25-2030,2021-12-31,1008.20,example,1
T-4.25-2030,2022-12-30,941.50,example,1
T-4.25-2030,2023-12-29,978.30,example,1
T-4.25-2030,2024-12-31,965.10,example,1
T-4.25-2030,2025-06-30,982.75,example,1
T-4.25-2030,2025-12-31,991.40,example,1
