Date,Type,Account,Quantity,Description,Price,Net amount,Notes,Settlement date,Amount,Commissions
2022-05-18,Receipt,IRA,100,PIMCO INCOME INSTL,10,1000,PIMCO INCOME FUND INSTITUTIONAL FUND ACAT RECEIVE,,1000,-
2022-05-18,Receipt,Roth IRA,30,GOLDMAN SACHS GQG PTNRS INTL OPPS R6,10,300,GOLDMAN SACHS GQG PARTNERS INTL OPP R6 ACAT RECEIVE,,300,-
2022-05-18,Receipt,IRA,20,WILLIAM BLAIR SML MD CP CR CL I MF,10,200,WILLIAM BLAIR SMALL MID CAP CORE CL I ACAT RECEIVE,,200,-
2022-05-18,Deposit,IRA,0,CASH,-,500,ACAT RECEIVE,,500,-
2022-05-18,Deposit,Roth IRA,0,CASH,-,100,ACAT RECEIVE,,100,-
2022-05-18,MoneyTransfer,IRA,0,CASH,-,500,TAS: Money Transfer from CASH to FDRXX,,500,-
2022-05-20,Deposit,Brokerage,0,CASH,-,10000,WR000000001,,10000,-
2022-05-27,Buy,Brokerage,40,ALPHABET INC A,100,4000,ALPHABET INC CL A DISCRETION EXERCISED,2022-05-31,4000,-
2022-06-30,Income (Reinvested Interest),Brokerage,1.5,BANK DEPOSIT SWEEP PROGRAM,1,1.5,BANK DEPOSIT SWEEP PROGRAM INTEREST RECEIVED,,1.5,-
2022-07-22,Expense (Transfer to Cover Management Fee),IRA,0,CASH,-,-5,FEE PAID BY OTHER WEF000046 04/01/22 - 06/30/22,,-5,-
2022-07-22,Expense (Management Fee),IRA,0,CASH,-,5,FEE PAID BY OTHER WEF000046 04/01/22 - 06/30/22,,5,-
2022-07-25,Expense (Management Fee),Brokerage,0,CASH,-,20,04/01/22 - 06/30/22 $20,,20,-
2022-07-25,Expense (Transfer to Cover Management Fee),Brokerage,0,CASH,-,5,04/01/22 - 06/30/22 FEE FOR WEF000048 $5 X,,5,-
2022-07-25,Expense (Transfer to Cover Management Fee),Brokerage,0,CASH,-,7,04/01/22 - 06/30/22 FEE FOR WEF000009 $7 X,,7,-
2022-09-14,Withdrawal,Brokerage,0,CASH,-,100,VS WEF-000009-1 0001 IRA CONT FT,,100,-
2022-10-17,Credit,IRA,60,FIDELITY ADVISOR MID CAP VALUE Z,-,-,CB RESET,,-,-
2022-10-17,Credit,IRA,60,FIDELITY ADVISOR MID CAP VALUE Z,10,600,,,600,-
2022-12-20,Sell,IRA,60,FIDELITY ADVISOR MID CAP VALUE Z,11,660,FIDELITY ADVISOR MID CAP VALUE CL Z DISCRETION EXERCISED,2022-12-22,660,-
2022-12-27,Credit,Brokerage,5,CONTRA ABIOMED INC COM,0,-,REORG ADJUSTMENT,,-,-
2023-02-08,Deposit,IRA,0,CASH,-,600,CASH CONTRB CURR YR ER0000000001,,600,-
2023-02-08,Deposit,Brokerage,0,CASH,-,600,EFT FUNDS RECEIVED ER0000000002,,600,-
2023-03-10,Transfer,IRA,20,WILLIAM BLAIR SML MD CP CR CL I MF,10,200,WILLIAM BLAIR SMALL MID CAP CORE CL I SHR CLASS CONVERSION CNV CUSIP: X,,200,-
2023-03-10,Receipt,IRA,19.97,WILLIAM BLAIR SMALL MID CAP CORE R6,10.015,200,WILLIAM BLAIR SMALL MID CAP CORE CL R6 SHR CLASS CONVERSION CNV CUSIP: X,,200,-
2023-06-30,Income (Dividend),IRA,0,PIMCO INCOME INSTL,-,20,PIMCO INCOME FUND INSTITUTIONAL FUND,2023-06-30,20,-
2023-06-30,Income (Reinvested Dividend),IRA,2.5,PIMCO INCOME INSTL,10,25,PIMCO INCOME FUND INSTITUTIONAL FUND,,25,-
2023-06-30,Income (Reinvested Dividend),IRA,0.5,FIDELITY GOVERNMENT CASH RESERVES,1,0.5,FIDELITY GOVERNMENT CASH RESERVES DIVIDEND RECEIVED,,0.5,-
2023-08-15,Income (Dividend),Brokerage,0,ASML HOLDING NV,-,100,ASML HOLDING NV NY REGISTRY SHS,2023-07-28,100,-
2023-08-15,Expense (Foreign Tax Paid),Brokerage,0,ASML HOLDING NV,-,15,ASML HOLDING NV NY REGISTRY SHS,,15,-
2023-12-15,Income (Long Term Gain),IRA,0,PIMCO INCOME INSTL,-,8,PIMCO INCOME FUND INSTITUTIONAL FUND,,8,-
2023-12-15,Income (Short Term Gain),Roth IRA,0,GOLDMAN SACHS GQG PTNRS INTL OPPS R6,-,3,GOLDMAN SACHS GQG PARTNERS INTL OPP R6,,3,-
2023-12-15,Income (Reinvested Long Term Gain),IRA,1,PIMCO INCOME INSTL,10,10,PIMCO INCOME FUND INSTITUTIONAL FUND,,10,-
2024-02-08,Withdrawal,Brokerage,0,CASH,-,500,VS WEF-000048-1 0001 CONTRIB,,500,-
2024-02-08,Deposit,IRA,0,CASH,-,500,VS WEF-000046-1 0001 CONTRIB,,500,-
2024-03-28,Deposit,IRA,0,CASH,-,1,MISCELLANEOUS ADJ EARNINGS ADJUSTMENT FREE CREDIT INT,,1,-
2024-04-04,Credit,IRA,50,WILLIAM BLAIR LARGE CAP GROWTH R6,20,1000,WILLIAM BLAIR LARGE GROWTH FUND R6 SHR CLASS CONVERSION CNV CUSIP: X,,1000,-
2025-06-10,Split,Brokerage,40,ALPHABET INC A,-,-,PROCESSED STOCK SPLIT OF GOOGL. TYPE: SPLIT; TICKER: GOOGL; SHARE-RATIO: 1:2.0,,-,-
2025-11-25,Receipt,Roth IRA,0.5,GOLDMAN SACHS GQG PTNRS INTL OPPS R6,12,6,GOLDMAN SACHS GQG PARTNERS INTL OPP R6 GS PX SHR REMED,,6,-
2026-04-20,Buy,Brokerage,10,EVERPURE CLASS A,50,500,EVERPURE CLASS A DISCRETION EXERCISED,2026-04-22,500,-
2026-04-20,Credit,Brokerage,10,EVERPURE CLASS A,50,500,Rename,,500,-
